Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"18 Sep 2025"
"HÖEGH AUTOLINERS";NO0011082075;HAUTO;"Oslo Børs";NOK;113.00;114.00;111.40;114.00;"17/09/2025 16:25";CET;351008;39723359.80;114.00;17/09/2025
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;170.00;170.00;170.00;170.00;"16/09/2025 16:00";CET;10;1700.00;170.00;17/09/2025
"IDEX BIOMETRICS";NO0013536078;IDEX;"Oslo Børs";NOK;3.12;3.40;3.10;3.152;"17/09/2025 16:25";CET;412588;1313834.79;3.152;17/09/2025
"INTEGRATED WIND SO";NO0013461350;IWS;"Oslo Børs";NOK;46.815;46.815;45.90;45.90;"17/09/2025 15:56";CET;4884;227639.64;45.90;17/09/2025
"INTEROIL EXPL PROD";NO0013119255;IOX;"Oslo Børs";NOK;1.494;1.494;1.35;1.39;"17/09/2025 16:25";CET;63773;89181.13;1.39;17/09/2025
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;8.26;8.28;8.26;8.28;"17/09/2025 15:48";CET;12947;107035.88;8.28;17/09/2025
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;6.36;6.36;6.14;6.26;"17/09/2025 16:04";CET;66970;418058.96;6.26;17/09/2025
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;386.00;390.00;385.00;389.90;"17/09/2025 16:07";CET;128;49790.90;389.90;17/09/2025
KID;NO0010743545;KID;"Oslo Børs";NOK;152.20;153.60;151.60;151.80;"17/09/2025 16:25";CET;36241;5518185.40;151.80;17/09/2025
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;62.10;62.60;60.85;60.95;"17/09/2025 16:28";CET;205585;12596139.70;60.95;17/09/2025
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;77.70;78.00;76.80;77.40;"17/09/2025 16:25";CET;40467;3129258.70;77.40;17/09/2025
"KMC PROPERTIES";NO0013637181;KMCP;"Oslo Børs";NOK;6.62;7.249;6.62;6.88;"17/09/2025 15:52";CET;29535;203589.81;6.88;17/09/2025
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;13.80;14.45;13.80;14.35;"17/09/2025 16:25";CET;25061;356790.90;14.35;17/09/2025
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;1.702;1.734;1.696;1.71;"17/09/2025 16:25";CET;880737;1506997.37;1.71;17/09/2025
"KONGSBERG GRUPPEN";NO0013536151;KOG;"Oslo Børs";NOK;307.05;309.30;304.15;304.50;"17/09/2025 16:29";CET;727841;222108571.80;304.50;17/09/2025
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;51.30;51.50;50.85;51.20;"17/09/2025 16:25";CET;208008;10646027.15;51.20;17/09/2025
LIFECARE;NO0013355859;LIFE;"Oslo Børs";NOK;10.90;11.00;9.82;9.82;"17/09/2025 16:25";CET;151462;1597796.25;9.82;17/09/2025
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;32.70;32.75;32.35;32.45;"17/09/2025 16:25";CET;1006117;32694161.20;32.45;17/09/2025
MAGNORA;NO0010187032;MGN;"Oslo Børs";NOK;22.70;22.90;22.60;22.70;"17/09/2025 16:25";CET;64211;1461324.55;22.70;17/09/2025
MEDISTIM;NO0010159684;MEDI;"Oslo Børs";NOK;251.00;251.00;243.00;243.00;"17/09/2025 16:27";CET;4377;1072248.00;243.00;17/09/2025
"MELHUS SPAREBANK";NO0006001908;MELG;"Oslo Børs";NOK;168.54;168.60;167.30;167.30;"17/09/2025 16:15";CET;3591;601849.66;167.30;17/09/2025
